dataset,row_id,column,dimension_quality,rule,observed_value,severity,action
solutions,119,year,VALIDITY,YEAR_OUT_OF_RANGE,1965.0,WARNING,Preserved for investigation
solutions,120,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,121,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,122,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,123,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,124,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,125,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,126,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,127,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,128,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,129,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,130,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,131,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,132,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,133,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,134,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,135,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,136,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,137,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,138,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,139,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,140,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,141,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,142,year,VALIDITY,YEAR_OUT_OF_RANGE,1966.0,WARNING,Preserved for investigation
solutions,143,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,144,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,145,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,146,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,147,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,148,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,149,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,150,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,151,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,152,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,153,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,154,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,155,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,156,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,157,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,158,year,VALIDITY,YEAR_OUT_OF_RANGE,1967.0,WARNING,Preserved for investigation
solutions,159,year,VALIDITY,YEAR_OUT_OF_RANGE,1968.0,WARNING,Preserved for investigation
