year,coo_id,coo_name,coo,coo_iso,coa_id,coa_name,coa,coa_iso,total
2009,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1983733
2009,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,425640
2009,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,472109
2009,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1885188
2010,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1942431
2010,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,430078
2010,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,476801
2010,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1841769
2011,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,1979580
2011,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,436154
2011,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,486946
2011,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1895043
2012,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2034641
2012,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,441543
2012,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,499189
2012,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1944544
2013,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2070973
2013,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,447328
2013,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,517255
2013,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,1994493
2014,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2117361
2014,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,452669
2014,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,528616
2014,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,2051096
2015,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2144233
2015,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,458369
2015,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,534654
2015,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,2104001
2016,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2175491
2016,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,463664
2016,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,543014
2016,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,2158274
2017,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2206736
2017,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,469555
2017,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,551873
2017,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,2214783
2018,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2242577
2018,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,475075
2018,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,560139
2018,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,2267747
2019,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2272411
2019,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,476033
2019,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,562312
2019,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,2319073
2020,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,2348243
2020,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2307011
2020,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,479537
2020,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,568730
2021,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,2400208
2021,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2334789
2021,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,482676
2021,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,575234
2022,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,2454258
2022,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2365090
2022,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,487282
2022,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,580723
2023,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,2496694
2023,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2392531
2023,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,492833
2023,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,586578
2024,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,2474000
2024,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2371387
2024,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,486269
2024,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,582745
2025,69,Palestinian,GAZ,PSE,69,State of Palestine,GAZ,PSE,2484580
2025,69,Palestinian,GAZ,PSE,96,Jordan,JOR,JOR,2398179
2025,69,Palestinian,GAZ,PSE,109,Lebanon,LEB,LBN,228274
2025,69,Palestinian,GAZ,PSE,185,Syrian Arab Rep.,SYR,SYR,357985
2025,69,Palestinian,GAZ,PSE,262,Unknown ,UKN,UNK,495764
